"","Team","City","State","Type","Primary.Conference","lon","lat"
"216","Norse","Highland Heights","Kentucky","State","Horizon League",-84.4518854,39.0331169
"314","Midshipmen","Annapolis","Maryland","Federal academy","Patriot League",-76.4921829,38.9784453
"199","Aggies","Greensboro","North Carolina","State","Mid-Eastern Athletic Conference",-79.7919754,36.0726354
"201","Eagles","Durham","North Carolina","State","Mid-Eastern Athletic Conference",-78.898619,35.9940329
"205","Wolfpack","Raleigh","North Carolina","State","Atlantic Coast Conference",-78.6381787,35.7795897
"187","Cornhuskers","Lincoln","Nebraska","State","Big Ten Conference",-96.6851982,40.8257625
"190","Wolf Pack","Reno","Nevada","State","Mountain West Conference",-119.8138027,39.5296329
"193","Lobos","Albuquerque","New Mexico","State","Mountain West Conference",-106.6055534,35.0853336
"194","Aggies","Las Cruces","New Mexico","State","Western Athletic Conference",-106.7636538,32.3199396
"195","Privateers","New Orleans","Louisiana","State","Southland Conference",-90.0715323,29.9510658
"196","Purple Eagles","Lewiston","New York","Private/Catholic","Metro Atlantic Athletic Conference",-79.0358782,43.1725552
"197","Colonels","Thibodaux","Louisiana","State","Southland Conference",-90.822871,29.7957633
"192","Highlanders","Newark","New Jersey","State","Atlantic Sun Conference",-74.1723667,40.735657
"198","Spartans","Norfolk","Virginia","State","Mid-Eastern Athletic Conference",-76.2858726,36.8507689
"207","Fighting Hawks[A 22]","Grand Forks","North Dakota","State","Big Sky Conference",-97.0328547,47.9252568
"208","Bison","Fargo","North Dakota","State","The Summit League",-96.7898034,46.8771863
"209","Ospreys and Lady Ospreys","Jacksonville","Florida","State","Atlantic Sun Conference",-81.655651,30.3321838
"210","Mean Green","Denton","Texas","State","Conference USA",-97.1330683,33.2148412
